N Python Numba(njit) Numpy Cython(dumb) Cython(smart)
1.0 0.47008705139160156 2.4589080810546875 0.4512209892272949 5.553531169891357 19.011426210403442
2.524186741162126 0.642188310623169 2.2072913646698 0.3217778205871582 5.94364857673645 14.176559448242188
6.371518704258674 1.495023488998413 2.067370653152466 0.43024754524230957 5.7525551319122314 12.357412815093994
16.08290303435623 5.179937124252319 2.214015007019043 0.8289313316345215 7.154560327529907 16.44834589958191
40.59625059871812 10.628127813339233 2.272752046585083 1.731152057647705 6.943928480148315 18.15126371383667
102.4725175021793 19.737465858459473 2.136730194091797 3.029186487197876 8.53813362121582 20.955810546875
258.6597700125049 66.75360250473022 2.3647122383117676 7.545817136764526 14.399909019470215 40.75350022315979
652.9055619376097 153.77199292182922 3.0529816150665283 18.90547227859497 26.191937685012817 78.50157809257507
1648.0555626739217 361.25149869918823 4.629001617431641 49.221128702163696 51.983376264572144 177.2409086227417
4160.0  None 7.466459512710571 110.04086422920227 397.9477074146271 1640.9763879776
