N Python Numba(njit) Numpy Cython(dumb) Cython(smart)
1.0 0.7040772438049316 3.3916263580322266 0.5348396301269531 9.112474918365479 21.068947076797485
40.0 17.262744665145874 2.497535467147827 1.3173034191131592 6.656644344329834 
