r				g(r)
2.479380000000000195e-01 0.000000000000000000e+00
7.438140000000000862e-01 0.000000000000000000e+00
1.239690000000000181e+00 0.000000000000000000e+00
1.735566000000000164e+00 0.000000000000000000e+00
2.231442000000000370e+00 0.000000000000000000e+00
2.727318000000000353e+00 0.000000000000000000e+00
3.223194000000000337e+00 4.608666255820245390e-04
3.719070000000000320e+00 1.101767798724056363e-02
4.214946000000000303e+00 2.066927083597853709e-01
4.710822000000000287e+00 1.078459577813604797e+00
5.206698000000001159e+00 1.896049069531281939e+00
5.702574000000000254e+00 1.807852801661624209e+00
6.198450000000001125e+00 1.429236397899550370e+00
6.694326000000000221e+00 1.059372711837303527e+00
7.190202000000001092e+00 8.472075663589924144e-01
7.686078000000000188e+00 7.911959355413991091e-01
8.181954000000001059e+00 7.545506391808127766e-01
8.677830000000000155e+00 8.162045729038037711e-01
9.173706000000001026e+00 9.296562754333960177e-01
9.669582000000001898e+00 1.062579024749682466e+00
1.016545800000000099e+01 1.145899431137470170e+00
1.066133400000000009e+01 1.162443628038296151e+00
1.115721000000000096e+01 1.123910115113478270e+00
1.165308600000000183e+01 1.058150745802343362e+00
1.214896200000000093e+01 9.919094551038136753e-01
1.264483800000000002e+01 9.315928530507856520e-01
1.314071400000000089e+01 9.017035846040265534e-01
1.363659000000000177e+01 9.384753002279664358e-01
1.413246600000000086e+01 9.605027459382893262e-01
1.462834199999999996e+01 1.029056441347611317e+00
1.512421800000000083e+01 1.091585121747303155e+00
1.562009400000000170e+01 1.069524069409065747e+00
1.611597000000000079e+01 1.054651588865176404e+00
1.661184599999999989e+01 9.988918988693298306e-01
1.710772200000000254e+01 9.626615485083896973e-01
1.760359800000000163e+01 9.697950139594219143e-01
1.809947400000000073e+01 9.701052002137553476e-01
1.859535000000000338e+01 9.878508578656952643e-01
1.909122599999999892e+01 9.864765074782779752e-01
1.958710200000000157e+01 1.015768053846290986e+00
2.008297800000000422e+01 1.056385987013815919e+00
2.057885399999999976e+01 1.053774031257315391e+00
2.107473000000000241e+01 1.028936662459796425e+00
2.157060600000000150e+01 9.882135105221891980e-01
2.206648200000000060e+01 9.864546806577875193e-01
2.256235800000000324e+01 9.574738484642688618e-01
2.305823399999999879e+01 9.595502590788318464e-01
2.355411000000000143e+01 9.641685167752579444e-01
2.404998600000000408e+01 9.658989327122817770e-01
2.454586199999999963e+01 9.738609788102720044e-01
